Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
0,1,2017-01-01 00:00:22,2017-01-01 00:10:44,4,7.41,1,N,240,204,2,22.77,0.5,0.5,0.0,0.0,0.3,24.07,0.0
1,2,2017-01-01 00:02:05,2017-01-01 00:24:43,1,3.89,1,N,222,83,2,23.76,0.0,0.5,0.0,0.0,0.3,24.56,2.5
2,2,2017-01-01 00:04:40,2017-01-01 00:42:43,1,1.68,1,N,130,199,2,24.48,0.0,0.5,0.0,0.0,0.3,25.28,2.5
3,2,2017-01-01 00:12:03,2017-01-01 00:29:02,1,4.9,1,N,203,142,2,23.25,1.0,0.5,0.0,0.0,0.3,25.05,2.5
4,1,2017-01-01 00:13:53,2017-01-01 00:19:20,1,3.82,2,N,193,140,2,16.72,0.0,0.5,0.0,8.0,0.3,25.52,2.5
5,1,2017-01-01 00:14:25,2017-01-01 00:59:31,1,1.28,1,N,76,132,1,27.91,0.0,0.5,3.46,0.0,0.3,32.17,2.5
6,1,2017-01-01 00:17:17,2017-01-01 01:05:32,3,7.34,1,N,256,53,1,47.3,0.5,0.5,7.8,0.0,0.3,56.4,2.5
7,2,2017-01-01 00:22:12,2017-01-01 00:57:55,1,3.08,1,N,259,27,1,27.13,1.0,0.5,5.98,0.0,0.3,34.91,2.5
8,2,2017-01-01 00:23:31,2017-01-01 00:46:50,1,1.76,1,N,55,231,1,18.22,0.0,0.5,1.98,0.0,0.3,21.0,2.5
9,2,2017-01-01 00:23:33,2017-01-01 00:44:56,1,11.44,1,N,242,192,3,42.85,0.0,0.5,0.0,0.0,0.3,43.65,2.5
10,1,2017-01-01 00:24:57,2017-01-01 00:41:31,1,2.87,1,N,74,145,1,20.05,0.5,0.5,4.59,0.0,0.3,25.94,0.0
11,2,2017-01-01 00:25:37,2017-01-01 00:41:40,1,3.79,1,N,121,205,1,19.47,0.0,0.5,2.13,0.0,0.3,22.4,0.0
12,2,2017-01-01 00:27:47,2017-01-01 00:34:26,1,2.93,5,N,98,112,2,13.62,0.0,0.5,0.0,0.0,0.3,14.42,2.5
13,1,2017-01-01 00:28:02,2017-01-01 00:34:46,1,8.55,1,N,52,93,1,26.44,0.5,0.5,4.38,0.0,0.3,32.12,2.5
14,1,2017-01-01 00:28:06,2017-01-01 00:36:12,1,11.02,1,N,131,208,1,35.57,0.5,0.5,6.11,0.0,0.3,42.98,2.5
15,1,2017-01-01 00:30:59,2017-01-01 00:34:39,1,3.52,1,N,187,89,1,9.94,0.0,0.5,1.72,0.0,0.3,12.46,0.0
16,1,2017-01-01 00:31:28,2017-01-01 00:37:43,1,3.06,1,N,141,108,1,12.79,0.5,0.5,1.59,0.0,0.3,15.68,0.0
17,2,2017-01-01 00:32:58,2017-01-01 00:47:54,1,5.85,1,N,20,81,1,25.71,0.5,0.5,6.05,0.0,0.3,33.06,0.0
18,1,2017-01-01 00:33:13,2017-01-01 00:36:21,1,2.02,1,N,83,9,1,10.55,0.0,0.5,1.59,0.0,0.3,12.94,2.5
19,1,2017-01-01 00:34:08,2017-01-01 00:41:50,6,3.49,1,N,99,203,1,17.32,0.0,0.5,3.49,0.0,0.3,21.61,2.5
20,2,2017-01-01 00:38:18,2017-01-01 00:51:03,1,1.78,1,N,8,165,1,11.55,0.5,0.5,1.59,0.0,0.3,14.44,0.0
21,1,2017-01-01 00:42:47,2017-01-01 00:51:33,1,11.99,1,N,239,84,2,38.78,0.5,0.5,0.0,0.0,0.3,40.08,2.5
22,1,2017-01-01 00:43:42,2017-01-01 00:55:33,1,6.55,1,N,50,183,1,23.13,0.0,0.5,5.51,0.0,0.3,29.44,0.0
23,1,2017-01-01 00:45:11,2017-01-01 01:03:30,2,11.04,1,N,88,57,2,41.12,0.5,0.5,0.0,0.0,0.3,42.42,0.0
24,2,2017-01-01 00:45:35,2017-01-01 01:14:58,1,2.01,1,N,105,45,1,23.5,0.0,0.5,3.67,0.0,0.3,27.97,2.5
25,2,2017-01-01 00:45:51,2017-01-01 00:54:48,1,5.73,1,N,250,13,1,23.81,1.0,0.5,3.12,0.0,0.3,28.73,0.0
26,1,2017-01-01 00:50:21,2017-01-01 01:02:28,1,3.98,1,N,162,232,1,17.04,0.0,0.5,1.88,0.0,0.3,19.72,2.5
27,2,2017-01-01 00:53:31,2017-01-01 00:56:42,1,3.65,1,N,200,232,2,12.73,0.5,0.5,0.0,0.0,0.3,14.03,2.5
28,2,2017-01-01 00:55:04,2017-01-01 01:17:46,2,10.04,1,Y,176,246,1,40.23,1.0,0.5,8.34,0.0,0.3,50.37,2.5
29,1,2017-01-01 00:56:05,2017-01-01 01:04:17,1,1.46,1,N,28,94,1,10.38,0.0,0.5,1.16,0.0,0.3,12.34,2.5
30,2,2017-01-01 00:58:23,2017-01-01 01:17:27,1,1.84,1,N,169,50,1,15.08,0.0,0.5,2.3,0.0,0.3,18.18,2.5
31,1,2017-01-01 00:59:05,2017-01-01 01:11:06,1,1.94,3,N,189,224,1,10.42,0.0,0.5,1.24,5.76,0.3,18.22,2.5
32,1,2017-01-01 01:03:46,2017-01-01 02:15:18,2,0.98,1,N,263,95,1,42.49,0.5,0.5,7.9,0.0,0.3,51.69,2.5
33,2,2017-01-01 01:04:56,2017-01-01 01:58:57,1,0.65,1,N,222,179,1,31.78,1.0,0.5,7.1,0.0,0.3,40.68,2.5
34,2,2017-01-01 01:06:12,2017-01-01 01:29:29,1,2.55,1,N,21,121,2,19.64,0.0,0.5,0.0,0.0,0.3,20.44,2.5
35,2,2017-01-01 01:07:40,2017-01-01 01:27:53,1,5.07,1,N,185,149,1,25.43,0.0,0.5,4.76,0.0,0.3,30.99,2.5
36,1,2017-01-01 01:07:49,2017-01-01 01:25:44,1,2.45,1,N,80,72,2,19.67,0.0,0.5,0.0,0.0,0.3,20.47,2.5
37,1,2017-01-01 01:07:50,2017-01-01 01:18:42,1,1.57,3,N,219,62,1,13.85,0.5,0.5,1.45,6.12,0.3,22.72,0.0
38,2,2017-01-01 01:11:40,2017-01-01 01:20:24,2,7.21,1,N,111,70,1,26.23,0.5,0.5,5.38,0.0,0.3,32.91,2.5
39,1,2017-01-01 01:12:23,2017-01-01 01:20:08,1,1.24,6,N,3,45,2,9.53,0.5,0.5,0.0,0.0,0.3,10.83,2.5
40,1,2017-01-01 01:12:46,2017-01-01 01:22:23,1,0.72,1,N,39,248,2,10.06,0.0,0.5,0.0,0.0,0.3,10.86,2.5
41,2,2017-01-01 01:20:04,2017-01-01 01:40:11,1,0.92,1,N,74,222,2,15.78,0.0,0.5,0.0,0.0,0.3,16.58,2.5
42,1,2017-01-01 01:20:07,2017-01-01 01:32:48,3,9.37,5,N,213,45,2,31.03,0.0,0.5,0.0,0.0,0.3,31.83,2.5
43,2,2017-01-01 01:21:15,2017-01-01 01:24:50,1,2.49,1,N,200,99,2,10.62,0.0,0.5,0.0,0.0,0.3,11.42,2.5
44,1,2017-01-01 01:25:54,2017-01-01 02:56:15,1,7.53,5,N,96,187,1,65.4,0.0,0.5,11.53,0.0,0.3,77.73,2.5
45,2,2017-01-01 01:27:07,2017-01-01 01:40:29,3,7.24,5,N,179,60,1,26.58,0.0,0.5,4.96,0.0,0.3,32.34,2.5
46,1,2017-01-01 01:31:36,2017-01-01 02:39:09,1,0.68,1,N,191,88,1,39.57,1.0,0.5,5.79,0.0,0.3,47.16,2.5
47,2,2017-01-01 01:32:21,2017-01-01 01:43:40,2,3.04,1,N,159,102,1,16.89,0.0,0.5,3.52,0.0,0.3,21.21,2.5
48,2,2017-01-01 01:32:46,2017-01-01 01:45:23,1,5.18,1,N,16,112,3,24.35,0.0,0.5,0.0,0.0,0.3,25.15,2.5
49,1,2017-01-01 01:34:00,2017-01-01 02:02:42,1,1.29,1,N,167,67,1,18.73,0.5,0.5,4.43,0.0,0.3,24.46,0.0
50,2,2017-01-01 01:36:22,2017-01-01 01:48:32,1,1.1,1,N,144,63,1,11.99,0.0,0.5,1.81,0.0,0.3,14.6,2.5
51,2,2017-01-01 01:36:58,2017-01-01 01:56:50,1,4.23,1,N,251,60,2,22.96,0.5,0.5,0.0,0.0,0.3,24.26,0.0
52,2,2017-01-01 01:37:37,2017-01-01 01:49:31,1,1.18,1,N,134,249,2,9.94,0.0,0.5,0.0,0.0,0.3,10.74,2.5
53,2,2017-01-01 01:45:51,2017-01-01 01:56:35,1,3.6,1,N,176,224,1,17.87,0.0,0.5,3.14,0.0,0.3,21.81,0.0
54,2,2017-01-01 01:46:24,2017-01-01 02:30:22,1,5.1,1,N,131,100,1,35.87,0.0,0.5,6.28,0.0,0.3,42.95,2.5
55,2,2017-01-01 01:46:41,2017-01-01 01:53:07,1,5.65,1,N,93,191,3,22.39,0.0,0.5,0.0,0.0,0.3,23.19,0.0
56,1,2017-01-01 01:47:44,2017-01-01 01:58:13,1,5.31,1,N,121,260,2,21.3,1.0,0.5,0.0,0.0,0.3,23.1,2.5
57,1,2017-01-01 01:47:45,2017-01-01 02:41:36,1,7.58,1,N,198,92,1,50.27,0.5,0.5,11.75,0.0,0.3,63.32,0.0
58,1,2017-01-01 01:50:08,2017-01-01 02:02:02,1,1.36,1,N,223,23,2,10.65,0.0,0.5,0.0,0.0,0.3,11.45,2.5
59,1,2017-01-01 01:50:54,2017-01-01 01:56:15,4,10.29,1,N,199,102,2,29.32,1.0,0.5,0.0,0.0,0.3,31.12,2.5
60,1,2017-01-01 01:52:30,2017-01-01 02:15:34,1,1.97,2,N,92,161,1,18.15,0.5,0.5,2.19,5.76,0.3,27.4,0.0
61,1,2017-01-01 01:53:22,2017-01-01 02:07:59,1,1.29,1,N,168,76,1,11.2,1.0,0.5,2.72,0.0,0.3,15.72,2.5
62,2,2017-01-01 01:53:29,2017-01-01 02:14:01,1,6.49,1,N,105,208,2,30.49,0.0,0.5,0.0,0.0,0.3,31.29,2.5
63,1,2017-01-01 01:54:10,2017-01-01 02:09:52,1,4.62,1,N,2,221,2,19.43,0.0,0.5,0.0,0.0,0.3,20.23,2.5
64,1,2017-01-01 01:57:34,2017-01-01 02:04:29,1,0.81,1,N,253,224,1,8.89,1.0,0.5,2.14,0.0,0.3,12.83,0.0
65,2,2017-01-01 01:57:43,2017-01-01 02:15:26,1,5.59,1,N,55,13,1,25.74,0.0,0.5,5.35,0.0,0.3,31.89,2.5
66,1,2017-01-01 02:00:47,2017-01-01 02:37:11,1,3.59,1,N,234,107,2,30.02,0.0,0.5,0.0,0.0,0.3,30.82,2.5
67,2,2017-01-01 02:01:05,2017-01-01 02:11:38,1,2.97,5,N,225,143,2,15.22,1.0,0.5,0.0,0.0,0.3,17.02,2.5
68,1,2017-01-01 02:02:20,2017-01-01 02:10:24,1,2.03,1,Y,15,56,1,9.13,0.5,0.5,2.07,0.0,0.3,12.5,2.5
69,2,2017-01-01 02:03:31,2017-01-01 02:16:48,1,7.74,1,N,102,160,2,30.17,0.0,0.5,0.0,0.0,0.3,30.97,2.5
70,2,2017-01-01 02:03:40,2017-01-01 02:16:37,3,9.51,1,N,237,139,1,31.46,0.5,0.5,5.39,0.0,0.3,38.15,2.5
71,1,2017-01-01 02:05:23,2017-01-01 02:17:21,1,4.72,1,N,92,234,3,17.97,0.5,0.5,0.0,0.0,0.3,19.27,0.0
72,1,2017-01-01 02:08:06,2017-01-01 02:43:42,1,1.14,1,N,111,28,2,23.56,0.5,0.5,0.0,0.0,0.3,24.86,2.5
73,2,2017-01-01 02:10:52,2017-01-01 02:28:38,1,1.16,1,N,255,24,1,14.72,0.0,0.5,3.32,0.0,0.3,18.84,2.5
74,2,2017-01-01 02:13:22,2017-01-01 03:01:13,1,1.56,1,N,112,137,1,29.04,0.0,0.5,4.33,0.0,0.3,34.17,2.5
75,2,2017-01-01 02:14:32,2017-01-01 02:32:07,1,5.97,1,N,163,197,1,26.51,0.5,0.5,5.03,0.0,0.3,32.84,2.5
76,2,2017-01-01 02:15:08,2017-01-01 02:34:26,1,2.28,1,N,229,60,2,18.92,0.0,0.5,0.0,0.0,0.3,19.72,2.5
77,1,2017-01-01 02:16:12,2017-01-01 03:25:10,1,4.62,1,N,202,263,1,50.17,0.0,0.5,7.79,0.0,0.3,58.76,2.5
78,1,2017-01-01 02:21:02,2017-01-01 02:40:06,1,1.86,1,N,29,171,1,17.31,0.5,0.5,2.4,0.0,0.3,21.01,0.0
79,1,2017-01-01 02:23:39,2017-01-01 02:36:11,5,8.29,1,N,169,96,2,29.6,0.0,0.5,0.0,0.0,0.3,30.4,2.5
80,2,2017-01-01 02:24:08,2017-01-01 02:31:53,1,1.22,1,N,182,83,1,8.78,0.0,0.5,1.08,0.0,0.3,10.66,2.5
81,2,2017-01-01 02:25:52,2017-01-01 02:34:06,1,2.46,1,N,1,85,2,12.47,0.0,0.5,0.0,0.0,0.3,13.27,0.0
82,1,2017-01-01 02:26:45,2017-01-01 02:37:57,1,2.43,1,N,34,153,1,12.72,1.0,0.5,1.71,0.0,0.3,16.23,2.5
83,1,2017-01-01 02:28:20,2017-01-01 02:40:55,1,4.85,1,N,75,43,2,22.43,0.0,0.5,0.0,0.0,0.3,23.23,2.5
84,1,2017-01-01 02:32:44,2017-01-01 02:36:16,1,3.8,1,N,127,74,1,14.17,0.0,0.5,1.61,0.0,0.3,16.58,2.5
85,1,2017-01-01 02:33:50,2017-01-01 02:48:39,1,8.81,4,N,162,11,1,34.36,0.0,0.5,3.67,0.0,0.3,38.83,2.5
86,2,2017-01-01 02:35:40,2017-01-01 02:37:53,1,7.67,1,N,193,240,2,21.52,1.0,0.5,0.0,0.0,0.3,23.32,2.5
87,2,2017-01-01 02:36:36,2017-01-01 03:13:15,1,1.72,1,N,156,257,1,23.06,1.0,0.5,5.4,0.0,0.3,30.26,0.0
88,2,2017-01-01 02:37:58,2017-01-01 02:41:58,1,3.0,1,N,112,213,1,11.1,0.5,0.5,2.35,0.0,0.3,14.75,2.5
89,2,2017-01-01 02:40:37,2017-01-01 02:57:41,1,2.88,1,N,170,10,1,20.28,0.0,0.5,2.18,0.0,0.3,23.26,2.5
90,1,2017-01-01 02:40:54,2017-01-01 02:57:30,1,1.93,1,N,107,191,1,13.36,1.0,0.5,1.55,0.0,0.3,16.71,0.0
91,2,2017-01-01 02:42:48,2017-01-01 03:21:11,1,0.91,1,N,130,210,1,22.09,0.5,0.5,4.59,0.0,0.3,27.98,2.5
92,2,2017-01-01 02:43:03,2017-01-01 02:59:33,1,2.86,1,N,48,260,1,16.17,0.0,0.5,2.86,0.0,0.3,19.83,2.5
93,2,2017-01-01 02:46:24,2017-01-01 03:00:23,1,5.58,1,N,90,213,1,23.39,1.0,0.5,4.06,0.0,0.3,29.25,2.5
94,2,2017-01-01 02:46:32,2017-01-01 03:05:14,1,3.35,1,N,167,191,2,20.79,0.5,0.5,0.0,0.0,0.3,22.09,2.5
95,2,2017-01-01 02:48:04,2017-01-01 02:58:26,2,3.74,1,N,243,136,2,17.33,0.5,0.5,0.0,0.0,0.3,18.63,2.5
96,2,2017-01-01 02:49:11,2017-01-01 02:59:39,1,8.5,1,N,102,217,1,28.04,1.0,0.5,5.42,0.0,0.3,35.26,2.5
97,1,2017-01-01 02:49:55,2017-01-01 03:07:20,1,1.51,1,N,28,63,1,14.81,0.0,0.5,1.64,0.0,0.3,17.25,2.5
98,1,2017-01-01 02:50:14,2017-01-01 03:02:26,1,1.6,1,N,41,181,2,11.03,0.0,0.5,0.0,0.0,0.3,11.83,2.5
99,1,2017-01-01 02:53:20,2017-01-01 03:16:50,1,2.1,1,N,183,83,1,21.54,0.5,0.5,4.39,0.0,0.3,27.23,2.5
100,1,2017-01-01 02:56:27,2017-01-01 03:04:32,2,6.51,1,N,129,73,1,23.84,0.0,0.5,4.06,0.0,0.3,28.7,2.5
101,2,2017-01-01 02:59:43,2017-01-01 03:28:55,1,5.68,1,Y,53,80,2,30.16,0.5,0.5,0.0,0.0,0.3,31.46,2.5
102,1,2017-01-01 02:59:49,2017-01-01 03:20:39,2,3.54,1,N,103,99,1,23.14,0.5,0.5,2.32,0.0,0.3,26.76,2.5
103,2,2017-01-01 02:59:55,2017-01-01 03:15:11,1,8.47,1,N,167,193,1,30.35,0.0,0.5,7.51,0.0,0.3,38.66,0.0
104,2,2017-01-01 03:02:15,2017-01-01 03:07:21,1,1.45,1,N,192,56,1,9.25,0.0,0.5,2.02,0.0,0.3,12.07,2.5
105,1,2017-01-01 03:02:54,2017-01-01 03:29:51,4,2.11,1,N,208,29,2,23.1,0.0,0.5,0.0,0.0,0.3,23.9,2.5
106,1,2017-01-01 03:05:48,2017-01-01 04:05:03,1,3.81,1,N,102,78,2,45.57,0.0,0.5,0.0,0.0,0.3,46.37,0.0
107,2,2017-01-01 03:07:24,2017-01-01 03:18:14,3,2.49,1,N,214,2,1,15.64,0.5,0.5,3.67,0.0,0.3,20.61,2.5
108,1,2017-01-01 03:08:42,2017-01-01 03:36:04,1,5.48,1,N,23,54,1,27.81,0.0,0.5,3.27,0.0,0.3,31.88,0.0
109,1,2017-01-01 03:16:45,2017-01-01 03:30:35,1,10.6,1,N,199,2,2,33.83,0.0,0.5,0.0,0.0,0.3,34.63,2.5
110,1,2017-01-01 03:17:15,2017-01-01 03:24:12,1,2.71,1,N,69,32,1,13.37,0.5,0.5,2.54,0.0,0.3,17.21,2.5
111,1,2017-01-01 03:17:16,2017-01-01 03:26:02,1,3.94,2,N,43,2,2,18.08,0.5,0.5,0.0,6.12,0.3,25.5,2.5
112,2,2017-01-01 03:17:29,2017-01-01 03:31:23,1,5.82,1,N,125,240,1,23.31,0.0,0.5,3.49,0.0,0.3,27.6,0.0
